date,user_id,user_persona,screen_time,sleep_hours,activity_type,activity_hours,peak_time,app,expense,category,mood,productivity_score,day_type
2025-10-01,1,night_owl_freelancer,7.2,4.4,social,2.1,12 AM,YouTube,4093,Shopping,Stressed,1,Weekday
2025-10-02,1,night_owl_freelancer,9.5,4.9,rest,1.2,1 AM,Instagram,1510,Food,Stressed,1,Weekday
2025-10-03,1,night_owl_freelancer,9.6,3.9,rest,2.2,1 AM,Instagram,1274,Entertainment,Stressed,2,Weekday
2025-10-04,1,night_owl_freelancer,12.6,4.6,work,4.6,11 PM,Telegram,2710,Food,Stressed,1,Weekend
2025-10-05,1,night_owl_freelancer,11.6,3.9,rest,1.8,11 PM,YouTube,2367,Shopping,Neutral,6,Weekend
2025-10-06,1,night_owl_freelancer,7.0,4.4,rest,3.4,10 PM,Instagram,763,Food,Stressed,2,Weekday
2025-10-07,1,night_owl_freelancer,7.4,4.1,work,3.1,9 PM,YouTube,1181,Food,Stressed,3,Weekday
2025-10-08,1,night_owl_freelancer,8.8,5.6,exercise,1.6,1 AM,Instagram,1005,Shopping,Stressed,4,Weekday
2025-10-09,1,night_owl_freelancer,8.1,3.7,rest,2.9,12 AM,Instagram,886,Entertainment,Stressed,3,Weekday
2025-10-10,1,night_owl_freelancer,8.3,3.6,rest,2.9,11 PM,Telegram,1754,Entertainment,Stressed,3,Weekday
2025-10-11,1,night_owl_freelancer,9.3,4.4,rest,3.3,1 AM,Instagram,3401,Food,Stressed,3,Weekend
2025-10-12,1,night_owl_freelancer,10.0,5.0,rest,1.8,2 AM,YouTube,3602,Food,Stressed,2,Weekend
2025-10-13,1,night_owl_freelancer,7.2,4.1,rest,3.2,10 PM,YouTube,1303,Food,Stressed,3,Weekday
2025-10-14,1,night_owl_freelancer,7.0,4.7,social,4.3,11 PM,YouTube,1034,Food,Stressed,1,Weekday
2025-10-15,1,night_owl_freelancer,8.4,4.0,rest,2.5,9 PM,YouTube,1466,Entertainment,Stressed,1,Weekday
2025-10-16,1,night_owl_freelancer,8.9,4.8,exercise,0.7,1 AM,YouTube,1525,Shopping,Neutral,4,Weekday
2025-10-17,1,night_owl_freelancer,8.1,3.6,social,2.1,10 PM,Instagram,1196,Shopping,Neutral,4,Weekday
2025-10-18,1,night_owl_freelancer,12.7,5.2,rest,1.3,12 AM,Instagram,4022,Shopping,Stressed,2,Weekend
2025-10-19,1,night_owl_freelancer,12.7,3.9,social,2.7,11 PM,YouTube,2549,Shopping,Stressed,3,Weekend
2025-10-20,1,night_owl_freelancer,10.2,4.6,social,2.0,11 PM,Instagram,1901,Shopping,Stressed,1,Weekday
2025-10-21,1,night_owl_freelancer,11.3,4.8,social,1.7,2 AM,YouTube,2192,Food,Stressed,1,Weekday
2025-10-22,1,night_owl_freelancer,13.2,4.9,rest,1.4,12 AM,Telegram,2588,Entertainment,Stressed,3,Weekday
2025-10-23,1,night_owl_freelancer,9.8,4.9,rest,1.9,2 AM,YouTube,1674,Shopping,Stressed,3,Weekday
2025-10-24,1,night_owl_freelancer,9.7,4.3,rest,1.6,2 AM,YouTube,2713,Food,Stressed,1,Weekday
2025-10-25,1,night_owl_freelancer,13.2,4.9,rest,2.9,12 AM,YouTube,5847,Entertainment,Neutral,3,Weekend
2025-10-26,1,night_owl_freelancer,11.0,4.2,rest,3.4,11 PM,YouTube,3731,Entertainment,Neutral,3,Weekend
2025-10-27,1,night_owl_freelancer,13.0,4.9,social,2.0,1 AM,Telegram,2075,Entertainment,Stressed,2,Weekday
2025-10-28,1,night_owl_freelancer,12.2,5.0,rest,2.9,1 AM,Instagram,2449,Entertainment,Neutral,5,Weekday
2025-10-29,1,night_owl_freelancer,10.3,4.4,rest,2.1,12 AM,YouTube,1040,Food,Neutral,3,Weekday
2025-10-30,1,night_owl_freelancer,8.3,3.5,rest,3.3,12 AM,Telegram,1183,Food,Stressed,2,Weekday
2025-10-31,1,night_owl_freelancer,7.2,5.1,exercise,1.2,12 AM,YouTube,1212,Food,Stressed,2,Weekday
2025-11-01,1,night_owl_freelancer,9.9,4.6,exercise,1.4,12 AM,Instagram,6988,Bills,Neutral,4,Weekend
2025-11-02,1,night_owl_freelancer,9.7,4.5,rest,2.0,12 AM,YouTube,3122,Food,Stressed,1,Weekend
2025-11-03,1,night_owl_freelancer,8.6,3.8,work,4.6,12 AM,YouTube,749,Entertainment,Stressed,3,Weekday
2025-11-04,1,night_owl_freelancer,8.8,4.8,rest,1.4,11 PM,YouTube,1629,Entertainment,Stressed,1,Weekday
2025-11-05,1,night_owl_freelancer,7.8,3.8,rest,1.9,11 PM,Telegram,1362,Shopping,Stressed,1,Weekday
2025-11-06,1,night_owl_freelancer,8.0,4.1,rest,2.1,11 PM,Instagram,1102,Shopping,Stressed,1,Weekday
2025-11-07,1,night_owl_freelancer,8.7,4.7,work,2.2,12 AM,Instagram,1398,Shopping,Neutral,5,Weekday
2025-11-08,1,night_owl_freelancer,9.1,4.2,rest,2.7,12 AM,Instagram,4393,Food,Stressed,2,Weekend
2025-11-09,1,night_owl_freelancer,11.1,4.6,rest,2.1,1 AM,Instagram,1961,Shopping,Neutral,3,Weekend
2025-11-10,1,night_owl_freelancer,9.8,5.2,social,2.9,12 AM,YouTube,1503,Food,Stressed,2,Weekday
2025-11-11,1,night_owl_freelancer,9.3,3.9,rest,1.0,11 PM,Instagram,1041,Food,Stressed,3,Weekday
2025-11-12,1,night_owl_freelancer,3.1,6.5,study,4.5,9 PM,Instagram,193,Health,Happy,9,Weekday
2025-11-13,1,night_owl_freelancer,2.9,6.4,exercise,0.9,9 PM,Instagram,139,Food,Happy,7,Weekday
2025-11-14,1,night_owl_freelancer,3.2,7.4,work,6.8,10 PM,Instagram,228,Food,Happy,7,Weekday
2025-11-15,1,night_owl_freelancer,2.1,7.0,work,7.2,10 PM,Instagram,424,Health,Happy,9,Weekend
2025-11-16,1,night_owl_freelancer,1.9,7.0,work,8.5,9 PM,YouTube,216,Education,Happy,7,Weekend
2025-11-17,1,night_owl_freelancer,2.6,6.7,work,7.6,10 PM,YouTube,316,Health,Happy,7,Weekday
2025-11-18,1,night_owl_freelancer,1.7,6.5,study,3.3,9 PM,YouTube,158,Health,Happy,8,Weekday
2025-11-19,1,night_owl_freelancer,1.8,7.1,exercise,0.9,9 PM,Instagram,265,Health,Neutral,3,Weekday
2025-11-20,1,night_owl_freelancer,2.2,6.3,exercise,1.4,10 PM,Instagram,278,Health,Neutral,4,Weekday
2025-11-21,1,night_owl_freelancer,8.1,5.0,work,4.0,9 PM,YouTube,1678,Food,Stressed,5,Weekday
2025-11-22,1,night_owl_freelancer,12.4,4.5,exercise,0.9,11 PM,Instagram,2571,Shopping,Stressed,1,Weekend
2025-11-23,1,night_owl_freelancer,11.7,4.2,rest,2.7,1 AM,YouTube,2573,Entertainment,Stressed,3,Weekend
2025-11-24,1,night_owl_freelancer,7.9,3.8,social,2.3,11 PM,Instagram,1866,Entertainment,Neutral,6,Weekday
2025-11-25,1,night_owl_freelancer,10.5,4.3,rest,2.5,11 PM,Telegram,1275,Food,Stressed,1,Weekday
2025-11-26,1,night_owl_freelancer,10.7,4.2,rest,1.4,12 AM,YouTube,1756,Shopping,Stressed,2,Weekday
2025-11-27,1,night_owl_freelancer,8.5,3.8,rest,3.2,12 AM,Instagram,1319,Shopping,Stressed,1,Weekday
2025-11-28,1,night_owl_freelancer,7.9,3.5,rest,1.2,10 PM,Instagram,1161,Entertainment,Stressed,3,Weekday
2025-11-29,1,night_owl_freelancer,12.3,4.8,rest,1.5,11 PM,Instagram,4218,Shopping,Stressed,3,Weekend
2025-11-30,1,night_owl_freelancer,9.2,4.1,exercise,1.6,2 AM,YouTube,3769,Food,Stressed,3,Weekend
2025-12-01,1,night_owl_freelancer,9.4,4.7,work,3.9,12 AM,YouTube,4350,Shopping,Neutral,5,Weekday
2025-12-02,1,night_owl_freelancer,7.1,4.8,rest,2.8,12 AM,Instagram,1354,Shopping,Stressed,1,Weekday
2025-12-03,1,night_owl_freelancer,9.1,4.6,work,3.5,2 AM,Instagram,1547,Shopping,Stressed,1,Weekday
2025-12-04,1,night_owl_freelancer,7.6,4.1,rest,2.6,1 AM,Telegram,1139,Entertainment,Stressed,1,Weekday
2025-12-05,1,night_owl_freelancer,9.0,4.2,social,4.5,11 PM,YouTube,1753,Shopping,Neutral,4,Weekday
2025-12-06,1,night_owl_freelancer,12.1,4.5,work,4.7,1 AM,YouTube,2769,Shopping,Stressed,1,Weekend
2025-12-07,1,night_owl_freelancer,11.8,5.1,rest,1.9,12 AM,Telegram,1900,Shopping,Stressed,1,Weekend
2025-12-08,1,night_owl_freelancer,9.1,4.3,rest,2.2,11 PM,YouTube,1167,Food,Neutral,6,Weekday
2025-12-09,1,night_owl_freelancer,8.7,4.7,rest,2.9,12 AM,YouTube,1616,Shopping,Neutral,6,Weekday
2025-12-10,1,night_owl_freelancer,9.2,5.1,rest,2.8,2 AM,YouTube,1206,Entertainment,Stressed,2,Weekday
2025-12-11,1,night_owl_freelancer,7.9,5.0,rest,1.1,11 PM,Instagram,1683,Food,Stressed,1,Weekday
